Process Count,Average Waiting Time,Average Turnaround Time,Average Response Time
1,0.0,9.0,0.0
2,5.3333335,11.666667,5.3333335
3,9.833333,15.333333,9.833333
4,23.5,31.4,23.5
5,38.533333,46.266666,36.333332
6,54.38095,62.0,51.47619
7,88.85714,96.96429,84.75
8,125.111115,133.63889,117.888885
9,157.88889,166.24445,147.8
10,203.4909,212.16364,186.6909
11,226.0303,234.06061,209.16667
12,264.69232,272.70514,246.66667
13,319.16483,327.30768,297.75824
14,372.05713,380.0476,349.15237
15,415.69168,423.525,390.43332
16,494.08823,502.13235,464.7647
17,554.902,562.9085,521.58826
18,624.0526,632.07605,586.8187
19,689.62634,697.5579,649.5579
20,759.6,767.49524,715.89526
